prev_tag,next_tag
bruteforcing,backtracking
greedy,dijkstra
greedy,mst
divide_and_conquer,segtree
dp,lca
data_structures,stack
data_structures,queue
data_structures,string
queue,deque
data_structures,linked_list
data_structures,graphs
data_structures,trees
trees,priority_queue
trees,tree_set
trees,segtree
data_structures,hash_set
hashing,hash_set
dancing_links,knuth_x
sorting,binary_search
sorting,mo
binary_search,parametric_search
binary_search,pbs
binary_search,lis
two_pointer,mo
two_pointer,sliding_window
two_pointer,sqrt_decomposition
two_pointer,mitm
offline_queries,mo
mitm,bidirectional_search
graphs,graph_traversal
graph_traversal,bfs
graph_traversal,dfs
recursion,dfs
bfs,bidirectional_search
trees,disjoint_set
trees,euler_tour_technique
trees,centroid
trees,tree_compression
trees,tree_decomposition
trees,trie
tree_set,rb_tree
tree_set,splay_tree
priority_queue,cartesian_tree
priority_queue,mst
lca,link_cut_tree
lca,hld
centroid,centroid_decomposition
centroid,tree_isomorphism
splay_tree,link_cut_tree
link_cut_tree,top_tree
segtree,merge_sort_tree
segtree,lazyprop
segtree,pst
segtree,multi_segtree
segtree,offline_dynamic_connectivity
segtree,hld
euler_tour_technique,lca
lazyprop,link_cut_tree
disjoint_set,offline_dynamic_connectivity
disjoint_set,smaller_to_larger
disjoint_set,mst
graphs,flood_fill
graphs,eulerian_path
graphs,tsp
graphs,flow
graphs,bipartite_graph
graphs,general_matching
graphs,scc
graphs,functional_graph
graphs,articulation
graphs,mst
graphs,dag
graphs,chordal_graph
graphs,shortest_path
graphs,degree_sequence
graphs,dual_graph
general_matching,bipartite_matching
articulation,biconnected_component
articulation,cactus
articulation,dominator_tree
shortest_path,dijkstra
shortest_path,bellman_ford
shortest_path,floyd_warshall
flow,circulation
flow,stoer_wagner
flow,mcmf
flow,mfmc
flow,bipartite_matching
bipartite_graph,bipartite_matching
bipartite_matching,hall
bipartite_matching,hungarian
bipartite_matching,stable_marriage
mst,directed_mst
scc,2_sat
scc,permutation_cycle_decomposition
functional_graph,permutation_cycle_decomposition
dijkstra,0_1_bfs
dijkstra,a_star
dag,topological_sorting
dag,lgv
string,utf8
string,manacher
string,palindrome_tree
string,rope
string,parsing
string,trie
string,kmp
string,rabin_karp
string,suffix_array
string,z
parsing,regex
trie,aho_corasick
trie,suffix_tree
math,linear_algebra
math,combinatorics
math,game_theory
math,calculus
math,number_theory
math,geometry
math,probability
math,pigeonhole_principle
math,statistics
math,physics
math,arithmetic
math,duality
linear_algebra,gaussian_elimination
linear_algebra,sparse_table
linear_algebra,matroid
game_theory,sprague_grundy
sprague_grundy,hackenbush
calculus,fft
calculus,gradient_descent
calculus,ternary_search
calculus,green
calculus,numerical_analysis
fft,multipoint_evaluation
combinatorics,matroid
combinatorics,inclusion_and_exclusion
combinatorics,lucas
combinatorics,burnside
combinatorics,generating_function
probability,bayes
probability,linearity_of_expectation
probability,randomization
probability,differential_cryptanalysis
probability,simulated_annealing
probability,birthday
numerical_analysis,linear_programming
numerical_analysis,polynomial_interpolation
arithmetic,arbitrary_precision
arithmetic,discrete_kth_root
arithmetic,discrete_log
arithmetic,discrete_sqrt
arithmetic,exponentiation_by_squaring
pigeonhole_principle,birthday
number_theory,crt
number_theory,euler_phi
number_theory,euclidean
number_theory,flt
number_theory,primality_test
number_theory,mobius_inversion
number_theory,lte
number_theory,floor_sum
primality_test,miller_rabin
primality_test,sieve
flt,miller_rabin
euclidean,extended_euclidean
euclidean,pollard_rho
miller_rabin,pollard_rho
extended_euclidean,modular_multiplicative_inverse
geometry,pythagoras
geometry,line_intersection
geometry,sweeping
geometry,coordinate_compression
geometry,delaunay
geometry,geometry_3d
geometry,euler_characteristic
geometry,polygon_area
geometry,min_enclosing_circle
geometry,geometric_boolean_operations
euler_characteristic,pick
euler_characteristic,planar_graph
delaunay,voronoi
geometry_3d,geometry_hyper
line_intersection,convex_hull
line_intersection,point_in_non_convex_polygon
line_intersection,half_plane_intersection
convex_hull,rotating_calipers
convex_hull,point_in_convex_polygon
dp,prefix_sum
dp,knapsack
dp,tsp
dp,dp_deque
dp,dp_digit
dp,dp_tree
dp,slope_trick
dp,cht
dp,divide_and_conquer_optimization
dp,monotone_queue_optimization
dp,knuth
dp,kitamasa
dp,alien
dp,hirschberg
dp,dp_connection_profile
dp,dp_bitfield
dp,dp_sum_over_subsets
kitamasa,berlekamp_massey
dp_deque,deque_trick
bitmask,bitset
bitmask,dp_connection_profile
bitmask,dp_bitfield
bitmask,dp_sum_over_subsets
